"R0000100","R0357900","R0536300","R0536401","R0536402","R1200300","R1205300","R1235800","R1482600","R2189100","R2200500","R2558800","R2563600","R3508200","R3511100","R3520100","R3880300","R3885200","R4909200","R4918000","R5459400","R5464400","R6536400","R6545000","R7222400","R7228100","S0924000","S0932900","S1535500","S1542000","S2005400","S2011800","S2990300","S2995900","S3805700","S4682600","S4685500","S4691000","S5405600","S6318100","S6321000","S6326800","S7506100","S8334600","S8339100","T0009400","T0741400","T0745900","T2012100","T2784900","T2789700","T3602100","T4496600","T4501300","T5202300","T6145500","T6150200","T6652100","T7640000","T7644700","T8123700","T9044600","Z9050500","Z9050600","Z9050700"
1,1,2,9,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,4,4
2,0,1,7,1982,1,2,1,2,-4,-4,1,2,-4,0,-4,1,2,0,-4,1,2,0,-4,1,2,0,-4,1,2,1,2,0,-4,1,-4,0,-4,1,-4,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,5,5
3,0,2,9,1983,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,-4,-5,-5,-5,3,0,-4,3,-4,2,7,7
4,0,2,2,1981,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,1,0,-4,1,4,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,7,7
5,1,1,10,1982,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,5,5
6,0,2,1,1982,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,2,0,-4,1,2,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,5,5
7,0,1,4,1983,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,2,1,4,0,-4,1,4,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,-5,-5,2,6,6
8,0,2,6,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,-4,0,-4,-4,0,-4,-5,-5,-5,1,0,-4,-5,-5,-5,1,0,-4,-5,-5,1,5,6
9,0,1,10,1982,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,6,6
10,0,1,3,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,0,2,2
11,1,2,6,1982,1,4,1,2,-4,-4,1,4,-4,0,-4,1,1,0,-4,1,10,0,-4,1,10,0,-4,1,10,2,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,1,2,2
12,0,1,10,1981,1,2,1,2,-4,-4,1,8,-4,0,-4,1,10,0,-4,1,10,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,7,8
13,0,1,11,1984,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,1,1,-4,1,-4,1,-4,0,2,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,6,6
14,0,1,7,1980,1,1,1,2,-4,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-4,-5,-5,1,1,1
15,0,2,1,1983,1,1,1,2,-4,-4,4,1,-4,0,-4,4,1,0,-4,4,1,0,-4,4,1,0,-4,1,10,1,10,0,-4,4,-4,0,-4,4,-4,0,-4,4,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,-5,-5,1,5,5
16,1,1,2,1982,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,1,1,4,0,-4,1,4,1,4,0,3,1,-4,0,-4,1,-4,-2,-4,1,0,-4,1,0,-4,1,0,-4,1,-1,-4,1,0,4,1,1,-4,1,5,2,1,2
17,1,2,11,1981,1,2,1,2,-4,-4,1,9,-4,0,-4,1,3,0,-4,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,4,4
18,0,1,2,1982,1,4,1,1,-4,6,1,4,-4,0,-4,1,4,0,-4,1,4,-5,-5,-5,-5,0,-4,1,5,1,5,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,1,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,10,11
19,0,1,4,1984,1,4,1,1,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,3,10,0,-4,3,10,1,5,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,1,0,1,1,-1,-4,1,0,-4,-5,-5,2,2,4
20,0,1,12,1980,1,4,1,1,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,-5,-5,-5,-5,0,-4,1,4,1,10,0,1,1,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-4,-5,-5,-5,-5,-5,4,0,0
21,1,1,8,1982,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,3,-4,4,4,4
22,1,1,6,1982,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,1,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,-4,3,2,2
23,0,2,1,1983,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,3,10,3,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,5,5
24,0,1,6,1984,1,2,1,2,-4,-4,1,2,-4,0,1,1,4,0,-4,1,4,0,2,1,4,0,5,1,10,1,10,0,5,1,-4,0,-4,1,-4,0,-4,1,0,1,1,0,-4,1,1,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,1,-3,-3
25,0,2,3,1983,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,2,2
26,0,1,10,1980,1,4,1,1,-4,-4,2,3,-4,0,-4,2,-3,0,-4,1,4,0,1,1,4,0,-4,1,4,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,-2,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,0,0
27,1,1,5,1981,1,4,1,1,-5,-5,-5,-5,-4,-4,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,6,6
28,0,2,11,1983,1,2,1,1,-4,-4,1,2,-4,0,-4,1,2,0,-4,1,2,0,-4,1,2,0,-4,1,2,1,2,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,0,3,3
29,1,2,1,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0
