,loan_amnt,amt_difference,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs_cat,inq_last_6mths_cat,open_acc,pub_rec,pub_rec_cat,acc_ratio,initial_list_status,loan_status,target
207122,5000.0,eq,36,158.77,A,4.0,RENT,65000.0,Not Verified,credit_card,9.27,no,yes,9.0,0.0,no,0.5,f,Fully Paid,0
207123,17050.0,eq,60,417.26,C,9.0,OWN,42800.0,Verified,debt_consolidation,11.44,no,yes,8.0,0.0,no,0.421052631579,f,Fully Paid,0
207124,5300.0,eq,36,182.0,C,10.0,MORTGAGE,35000.0,Verified,debt_consolidation,24.72,no,yes,13.0,0.0,no,0.351351351351,f,Fully Paid,0
207125,2425.0,eq,36,85.02,C,5.0,RENT,35000.0,Source Verified,credit_card,7.99,no,yes,12.0,0.0,no,0.705882352941,f,Charged Off,1
207126,3450.0,eq,36,114.79,B,10.0,RENT,74000.0,Verified,credit_card,4.12,no,yes,3.0,0.0,no,0.75,f,Fully Paid,0
207127,5600.0,eq,36,192.3,C,1.0,RENT,72000.0,Not Verified,major_purchase,17.23,no,no,13.0,0.0,no,0.52,f,Fully Paid,0
207128,16000.0,less,60,415.49,D,6.0,MORTGAGE,53000.0,Verified,debt_consolidation,13.09,no,no,9.0,0.0,no,0.529411764706,f,Fully Paid,0
207129,2000.0,eq,36,68.45,B,8.0,MORTGAGE,34445.0,Not Verified,other,7.94,no,no,4.0,1.0,yes,0.4,f,Charged Off,1
207130,27300.0,eq,60,798.58,G,10.0,RENT,124650.0,Verified,debt_consolidation,11.29,no,no,11.0,0.0,no,1.0,f,Charged Off,1
207131,14000.0,eq,36,465.81,B,5.0,RENT,42000.0,Not Verified,debt_consolidation,10.62,no,no,11.0,0.0,no,0.611111111111,f,Fully Paid,0
207132,4000.0,eq,36,124.65,A,10.0,MORTGAGE,55000.0,Not Verified,debt_consolidation,7.68,no,yes,13.0,0.0,no,0.393939393939,f,Fully Paid,0
207133,3325.0,eq,36,103.62,A,1.0,RENT,25000.0,Source Verified,renewable_energy,28.66,no,yes,8.0,0.0,no,0.727272727273,f,Fully Paid,0
207134,30000.0,eq,60,718.59,C,5.0,MORTGAGE,104000.0,Verified,credit_card,24.79,no,yes,11.0,0.0,no,0.275,f,Fully Paid,0
207135,2500.0,eq,36,87.65,C,2.0,RENT,165000.0,Not Verified,debt_consolidation,14.0,no,yes,11.0,0.0,no,0.478260869565,f,Fully Paid,0
207136,7750.0,eq,36,266.13,C,10.0,MORTGAGE,104000.0,Source Verified,major_purchase,6.99,no,yes,15.0,0.0,no,0.714285714286,f,Fully Paid,0
207138,14100.0,eq,36,490.93,C,3.0,MORTGAGE,60000.0,Not Verified,debt_consolidation,14.17,no,no,15.0,1.0,yes,0.51724137931,f,Fully Paid,0
207139,22000.0,eq,36,806.99,D,1.0,RENT,100000.0,Verified,credit_card,14.47,yes,no,9.0,0.0,no,0.428571428571,f,Fully Paid,0
207140,20950.0,less,60,551.79,D,4.0,MORTGAGE,53400.0,Verified,debt_consolidation,22.94,no,yes,13.0,0.0,no,0.41935483871,f,Fully Paid,0
207141,4000.0,eq,36,136.89,B,3.0,RENT,20000.0,Not Verified,debt_consolidation,6.78,no,no,5.0,0.0,no,0.714285714286,f,Fully Paid,0
207142,2800.0,eq,36,97.49,C,10.0,RENT,65000.0,Not Verified,debt_consolidation,14.93,no,yes,11.0,0.0,no,0.578947368421,f,Fully Paid,0
207143,4375.0,eq,36,145.57,B,1.0,RENT,16000.0,Verified,wedding,26.4,no,yes,9.0,0.0,no,1.0,f,Fully Paid,0
207144,10000.0,eq,36,348.18,C,5.0,RENT,55000.0,Not Verified,credit_card,8.14,no,yes,9.0,0.0,no,0.428571428571,f,Charged Off,1
207145,9000.0,eq,36,324.34,D,3.0,RENT,53000.0,Not Verified,other,7.14,no,no,9.0,0.0,no,0.642857142857,f,Charged Off,1
207146,5000.0,eq,36,166.36,B,10.0,RENT,82298.0,Not Verified,debt_consolidation,14.53,no,yes,14.0,0.0,no,0.666666666667,f,Fully Paid,0
207147,6800.0,eq,36,256.2,E,10.0,RENT,60000.0,Source Verified,credit_card,9.02,no,no,5.0,0.0,no,0.454545454545,f,Fully Paid,0
207148,5375.0,eq,36,178.84,B,10.0,RENT,24000.0,Not Verified,debt_consolidation,15.35,no,no,3.0,0.0,no,0.6,f,Fully Paid,0
207149,10000.0,less,36,360.38,D,1.0,RENT,70000.0,Verified,debt_consolidation,31.34,no,no,13.0,0.0,no,0.5,f,Fully Paid,0
207150,6250.0,eq,36,219.12,C,5.0,MORTGAGE,22000.0,Not Verified,debt_consolidation,20.24,no,yes,11.0,0.0,no,0.52380952381,f,Fully Paid,0
207152,5000.0,eq,36,161.72,B,1.0,MORTGAGE,25000.0,Source Verified,debt_consolidation,19.34,no,no,7.0,0.0,no,0.388888888889,f,Fully Paid,0
207153,9600.0,eq,36,329.65,C,4.0,MORTGAGE,62000.0,Not Verified,debt_consolidation,4.63,no,no,6.0,0.0,no,0.461538461538,f,Fully Paid,0
207154,10000.0,eq,36,343.39,C,2.0,RENT,70000.0,Not Verified,debt_consolidation,7.92,yes,no,5.0,0.0,no,0.294117647059,f,Fully Paid,0
207155,9750.0,eq,36,334.8,C,2.0,MORTGAGE,70000.0,Not Verified,debt_consolidation,2.26,yes,yes,10.0,0.0,no,0.4,f,Fully Paid,0
207156,14000.0,eq,36,480.74,C,3.0,RENT,45000.0,Source Verified,debt_consolidation,14.94,yes,yes,13.0,0.0,no,0.342105263158,f,Fully Paid,0
207157,5000.0,eq,36,155.81,A,10.0,OWN,56000.0,Not Verified,home_improvement,1.69,no,yes,10.0,0.0,no,0.3125,f,Fully Paid,0
207158,10500.0,less,36,333.41,A,10.0,MORTGAGE,48000.0,Verified,debt_consolidation,18.18,no,no,9.0,0.0,no,0.391304347826,f,Fully Paid,0
207159,1000.0,eq,36,31.76,A,1.0,OWN,60000.0,Not Verified,vacation,15.02,no,yes,6.0,0.0,no,0.461538461538,f,Fully Paid,0
207160,4000.0,less,36,133.09,B,7.0,RENT,44000.0,Not Verified,debt_consolidation,20.78,no,no,4.0,0.0,no,0.222222222222,f,Fully Paid,0
207162,7750.0,less,36,269.84,C,9.0,RENT,35000.0,Verified,debt_consolidation,12.53,no,yes,6.0,0.0,no,0.545454545455,f,Fully Paid,0
207163,3000.0,eq,36,95.26,A,10.0,OWN,31000.0,Not Verified,debt_consolidation,25.66,no,yes,13.0,0.0,no,0.351351351351,f,Fully Paid,0
207164,18250.0,eq,36,644.24,C,1.0,OWN,47000.0,Not Verified,debt_consolidation,29.16,yes,yes,15.0,0.0,no,0.555555555556,f,Fully Paid,0
207165,2750.0,eq,36,97.08,C,1.0,OWN,30000.0,Verified,vacation,12.96,no,yes,9.0,0.0,no,0.9,f,Fully Paid,0
207166,5600.0,eq,36,192.3,C,2.0,MORTGAGE,72000.0,Not Verified,credit_card,21.98,yes,no,16.0,0.0,no,0.290909090909,f,Fully Paid,0
207167,3000.0,eq,36,93.49,A,10.0,RENT,120000.0,Verified,small_business,4.78,no,yes,11.0,0.0,no,0.785714285714,f,Fully Paid,0
207168,15000.0,less,36,525.88,C,1.0,RENT,60000.0,Verified,debt_consolidation,14.62,no,yes,11.0,0.0,no,0.379310344828,f,Charged Off,1
